0 + 0i
-21 + 423i
-21 + 211i
-21 + 140i
-21 + 105i
-21 + 83i
-21 + 69i
-21 + 58i
-21 + 50i
-21 + 44i
-21 + 39i
-21 + 35i
-21 + 31i
-21 + 28i
-21 + 25i
-21 + 23i
-21 + 21i
-21 + 19i
-21 + 17i
-21 + 15i
-21 + 14i
-21 + 12i
-21 + 11i
-21 + 10i
-21 + 9i
-21 + 7i
-21 + 6i
-21 + 5i
-21 + 4i
-21 + 3i
-21 + 2i
-21 + 1i
-21 + 0i
-21 + -1i
-21 + -2i
-21 + -3i
-21 + -4i
-21 + -5i
-21 + -6i
-21 + -7i
-21 + -9i
-21 + -10i
-21 + -11i
-21 + -12i
-21 + -14i
-21 + -15i
-21 + -17i
-21 + -19i
-21 + -21i
-21 + -23i
-21 + -25i
-21 + -28i
-21 + -31i
-21 + -35i
-21 + -39i
-21 + -44i
-21 + -50i
-21 + -58i
-21 + -69i
-21 + -83i
-21 + -105i
-21 + -140i
-21 + -211i
-21 + -423i
