256 + 0i
255 + -25i
251 + -50i
245 + -74i
237 + -98i
226 + -121i
213 + -142i
198 + -162i
181 + -181i
162 + -198i
142 + -213i
121 + -226i
98 + -237i
74 + -245i
50 + -251i
25 + -255i
0 + -256i
-25 + -255i
-50 + -251i
-74 + -245i
-98 + -237i
-121 + -226i
-142 + -213i
-162 + -198i
-181 + -181i
-198 + -162i
-213 + -142i
-226 + -121i
-237 + -98i
-245 + -74i
-251 + -50i
-255 + -25i
-256 + 0i
-255 + 25i
-251 + 50i
-245 + 74i
-237 + 98i
-226 + 121i
-213 + 142i
-198 + 162i
-181 + 181i
-162 + 198i
-142 + 213i
-121 + 226i
-98 + 237i
-74 + 245i
-50 + 251i
-25 + 255i
0 + 256i
25 + 255i
50 + 251i
74 + 245i
98 + 237i
121 + 226i
142 + 213i
162 + 198i
181 + 181i
198 + 162i
213 + 142i
226 + 121i
237 + 98i
245 + 74i
251 + 50i
255 + 25i
