0 1 + 0i
32 1 + 2.449294e-16i
64 1 + 4.898587e-16i
96 1 + 7.347881e-16i
128 1 + 9.797174e-16i
160 1 + 1.224647e-15i
192 1 + 1.469576e-15i
224 1 + 1.714506e-15i
256 1 + 1.959435e-15i
288 1 + 2.204364e-15i
320 1 + 2.449294e-15i
352 1 + 9.799650e-15i
384 1 + 2.939152e-15i
416 1 + -3.921346e-15i
448 1 + 3.429011e-15i
480 1 + 1.077937e-14i
0 1 + 0i
8 6.123234e-17 + -1i
32 1 + 2.449294e-16i
40 3.061617e-16 + -1i
64 1 + 4.898587e-16i
72 5.510911e-16 + -1i
96 1 + 7.347881e-16i
104 -9.803364e-16 + -1i
128 1 + 9.797174e-16i
136 -7.354071e-16 + -1i
160 1 + 1.224647e-15i
168 -4.904777e-16 + -1i
192 1 + 1.469576e-15i
200 -2.455483e-16 + -1i
224 1 + 1.714506e-15i
232 -6.189806e-19 + -1i
0 1 + 0i
4 7.071068e-01 + -7.071068e-01i
8 6.123234e-17 + -1i
12 -7.071068e-01 + -7.071068e-01i
32 1 + 2.449294e-16i
36 7.071068e-01 + -7.071068e-01i
40 3.061617e-16 + -1i
44 -7.071068e-01 + -7.071068e-01i
64 1 + 4.898587e-16i
68 7.071068e-01 + -7.071068e-01i
72 5.510911e-16 + -1i
76 -7.071068e-01 + -7.071068e-01i
96 1 + 7.347881e-16i
100 7.071068e-01 + -7.071068e-01i
104 -9.803364e-16 + -1i
108 -7.071068e-01 + -7.071068e-01i
0 1 + 0i
2 9.238795e-01 + -3.826834e-01i
4 7.071068e-01 + -7.071068e-01i
6 3.826834e-01 + -9.238795e-01i
8 6.123234e-17 + -1i
10 -3.826834e-01 + -9.238795e-01i
12 -7.071068e-01 + -7.071068e-01i
14 -9.238795e-01 + -3.826834e-01i
32 1 + 2.449294e-16i
34 9.238795e-01 + -3.826834e-01i
36 7.071068e-01 + -7.071068e-01i
38 3.826834e-01 + -9.238795e-01i
40 3.061617e-16 + -1i
42 -3.826834e-01 + -9.238795e-01i
44 -7.071068e-01 + -7.071068e-01i
46 -9.238795e-01 + -3.826834e-01i
0 1 + 0i
1 9.807853e-01 + -1.950903e-01i
2 9.238795e-01 + -3.826834e-01i
3 8.314696e-01 + -5.555702e-01i
4 7.071068e-01 + -7.071068e-01i
5 5.555702e-01 + -8.314696e-01i
6 3.826834e-01 + -9.238795e-01i
7 1.950903e-01 + -9.807853e-01i
8 6.123234e-17 + -1i
9 -1.950903e-01 + -9.807853e-01i
10 -3.826834e-01 + -9.238795e-01i
11 -5.555702e-01 + -8.314696e-01i
12 -7.071068e-01 + -7.071068e-01i
13 -8.314696e-01 + -5.555702e-01i
14 -9.238795e-01 + -3.826834e-01i
15 -9.807853e-01 + -1.950903e-01i
